queue_rank,old_rank,eligible,processed,fund,usable,missing,missing_fields,official_routes,canonical_web_status,expected_recoverable_fields,score_values_per_minute,age_class,established_year,age_evidence_kind,age_evidence,age_blocked_fields,age_penalty,expected_recoverable_fields_old,reason,fund_index,ico,web,high,medium,low,expected_raw_slots,route_quality,penalty_factor,bonus_factor,expected_minutes,proven_hosts,cached_documents,cached_unexploited,slug
63,19,no,yes,"AVANT BESS SICAV, a.s.",3,8,minimum_investment;target_return;fees;assets_under_management;aum_history;annual_returns;historical_values;news,AVANT > canonical web,usable,3.5,1.0,ONE_STUB_PERIOD,2025,recorded_establishment_date,2025-09-16,annual_returns;assets_under_management;aum_history;historical_values,0.5895,5.9375,proven official route (AVANT); one annual report can answer 4 missing fields,231,,https://avantfunds.cz,1,6,1,4.75,1.0,1.0,1.25,3.5,avantfunds.cz,45,1,avant-bess-sicav-a-s
64,57,yes,no,"JTFG FUND IV SICAV, a.s.",4,7,investment_horizon;target_return;assets_under_management;aum_history;annual_returns;historical_values;news,AMISTA > canonical web > Sbírka listin / ORSL,usable,3.4594,0.9884,TWO_PERIODS,2024,ico_band,IČO 21054533,annual_returns;aum_history;historical_values,0.8386,4.125,proven official route (AMISTA); one annual report can answer 4 missing fields,266,21054533,https://www.jtfg.com,0,5,2,3.3,1.0,1.0,1.25,3.5,amista.cz,7,2,jtfg-fund-iv-sicav-a-s
65,82,yes,no,271 SICAV a.s.,2,9,investment_horizon;minimum_investment;target_return;fees;assets_under_management;aum_history;annual_returns;historical_values;news,AMISTA > canonical web > Sbírka listin / ORSL,usable,3.375,0.9643,MATURE,,no_age_evidence,,,1.0,3.375,proven official route (AMISTA); one annual report can answer 4 missing fields,228,,https://www.amista.cz/povinne-informace.html,0,4,2,2.7,1.0,1.0,1.25,3.5,amista.cz,44,0,271-sicav-a-s
66,83,yes,no,"HARTENBERG INVESTMENT FUND SICAV, a.s.",2,9,investment_horizon;minimum_investment;target_return;fees;assets_under_management;aum_history;annual_returns;historical_values;news,AMISTA > canonical web,usable,3.375,0.9643,MATURE,,no_age_evidence,,,1.0,3.375,proven official route (AMISTA); one annual report can answer 4 missing fields,261,,https://www.amista.cz/povinne-informace.html,0,3,6,2.6999999999999997,1.0,1.0,1.25,3.5,amista.cz,20,0,hartenberg-investment-fund-sicav-a-s
67,84,yes,no,"Jet Venture 1 SICAV, a.s.",1,10,investment_horizon;minimum_investment;target_return;fees;assets_under_management;administrator;aum_history;annual_returns;historical_values;news,canonical web,usable,2.38,0.952,MATURE,,no_age_evidence,,,1.0,2.38,canonical website only,22,,https://ventures.jetinvestment.cz,1,4,0,3.4,0.7,1.0,1.0,2.5,,22,8,jet-venture-1-sicav-a-s
68,85,yes,no,DIAGRAM IRQ Funds SICAV a.s.,4,7,minimum_investment;target_return;assets_under_management;aum_history;annual_returns;historical_values;news,AMISTA > canonical web,usable,3.3,0.9429,MATURE,,no_age_evidence,,,1.0,3.3,proven official route (AMISTA); one annual report can answer 4 missing fields; 20 sound cached documents never read,98,,https://www.irqfunds.com/en,0,3,4,2.3999999999999995,1.0,1.0,1.375,3.5,amista.cz;diagramfund.cz,34,20,diagram-irq-funds-sicav-a-s
69,34,no,yes,PONTIRO FOND SICAV a.s.,4,7,target_return;fees;assets_under_management;aum_history;annual_returns;historical_values;news,canonical web,usable,2.3485,0.9394,ONE_STUB_PERIOD,2025,recorded_establishment_date,2025-08-24,annual_returns;assets_under_management;aum_history;historical_values,0.61,3.85,canonical website only; 11 sound cached documents never read,283,,https://www.pontiro.cz,2,5,0,5.0,0.7,1.0,1.1,2.5,cloud-1de12d.becdn.net;pontiro.cz,17,11,pontiro-fond-sicav-a-s
70,86,yes,no,"Orquesta investment SICAV, a.s.",6,5,target_return;assets_under_management;aum_history;annual_returns;historical_values,AVANT > TILLER/Winstor > canonical web,usable,4.1875,0.9306,MATURE,,no_age_evidence,,,1.0,4.1875,proven official route (AVANT); one annual report can answer 4 missing fields,321,,https://www.tillerfunds.cz/en/portfolio/orquesta-investment-sicav,2,2,1,3.35,1.0,1.0,1.25,4.5,tillerfunds.cz;avantfunds.cz,7,4,orquesta-investment-sicav-a-s
71,87,yes,no,"MINT rezidenční fond SICAV, a.s.",5,6,minimum_investment;target_return;assets_under_management;annual_returns;historical_values;news,canonical web,usable,2.3187,0.9275,MATURE,,no_age_evidence,,,1.0,2.3187,canonical website only; one annual report can answer 3 missing fields,6,,https://www.mintrezidencnifond.cz/,1,2,3,2.65,0.7,1.0,1.25,2.5,mintrezidencnifond.cz;cdn.prod.website-files.com,33,7,mint-rezidencni-fond-sicav-a-s
72,88,yes,no,"Best Solution Funds SICAV, a.s.",4,7,investment_horizon;target_return;assets_under_management;aum_history;annual_returns;historical_values;news,canonical web,usable,2.31,0.924,MATURE,,no_age_evidence,,,1.0,2.31,canonical website only,13,,https://www.swisslifeselect.cz/cs/home/o-nas/BSF-SICAV.html,0,5,2,3.3,0.7,1.0,1.0,2.5,swisslifeselect.cz,2,0,best-solution-funds-sicav-a-s
